mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean
lead1,zero,queue_pkts,21.25090847731247,0.0,21.25090847731247,0.6609324346469289,83.43414854157226,0.0,0.0
lead1,zero,throughput_Mbps,1.2486813148540006,0.001587091717008188,,,,,
lead1,zero,utilization,0.35588676605124603,1.587091742154077e-06,,,,,
lead1,zero,rtt_ms,336.9084839584448,336.9084839584448,,,,,
lead1,persistence,queue_pkts,2.3359509127262643,0.0,2.3359509127262643,1.429117293165177,7.397296803562772,0.0007920792079207921,0.07683168316831683
lead1,persistence,throughput_Mbps,0.1897568391043494,0.002122800339417397,,,,,
lead1,persistence,utilization,0.05733958824266331,2.122800379729996e-06,,,,,
lead1,persistence,rtt_ms,42.19230459820038,42.19230459820039,,,,,
lead1,ar1,queue_pkts,2.330639921769667,0.0,2.330639921769667,1.416940669240091,7.405244253514069,0.0007920792079207921,0.05525059634750522
lead1,ar1,throughput_Mbps,0.22776637663409108,0.0015785902768126342,,,,,
lead1,ar1,utilization,0.057198280007704445,1.5869884155231536e-06,,,,,
lead1,ar1,rtt_ms,42.21504480888687,42.21504480888687,,,,,
lead1,kalman_queue,queue_pkts,3.494672910191887,8.57372887617784e-146,3.494672910191887,2.2829183400061206,10.640840823758573,0.0007920792079207921,0.1652519438284724
